cardmarket_product_id,idMetacard,cardmarket_product_name,matched_collector_number,matched_card_name,matched_rarity,matched_finish,numbered_identity_status,finish_status,treatment_status,mapping_status,mapping_confidence,mapping_method,mapping_evidence,notes,price_low,price_trend,price_avg1,price_avg7,price_avg30,price_low_holo,price_trend_holo,price_avg1_holo,price_avg7_holo,price_avg30_holo,candidate_count,candidate_numbers,detected_treatment,source_expansion_id,target_expansion_id
719442,421079,Bulbasaur [Leech Seed | 151],,,,,AMBIGUOUS,UNKNOWN,UNKNOWN,AMBIGUOUS,LOW,exact_name_and_attack_signature,name_signature=bulbasaur; attack_signature=leech seed; no_direct_external_id_match,no unique numbered printing candidate; idMetacard retained as Cardmarket grouping evidence; never used as numbered identity,0.02,0.4,2.03,0.35,0.18,0.1,8.33,1.45,8.87,6.54,2,"001,166",,5328,5328
719444,421081,Ivysaur [Leech Seed | Vine Whip | 151],,,,,AMBIGUOUS,UNKNOWN,UNKNOWN,AMBIGUOUS,LOW,exact_name_and_attack_signature,name_signature=ivysaur; attack_signature=leech seed | vine whip; no_direct_external_id_match,no unique numbered printing candidate; idMetacard retained as Cardmarket grouping evidence; never used as numbered identity,0.02,0.2,0.75,0.26,0.22,0.05,4.1,1.52,3.93,2.97,2,"002,167",,5328,5328
719445,421082,Venusaur ex [Tranquil Flower | Dangerous Toxwhip],,,,,AMBIGUOUS,UNKNOWN,UNKNOWN,AMBIGUOUS,LOW,exact_name_only,name_signature=venusaur ex; attack_signature=tranquil flower | dangerous toxwhip; no_direct_external_id_match,no unique numbered printing candidate; idMetacard retained as Cardmarket grouping evidence; never used as numbered identity,0.08,0.64,0.79,0.83,0.64,,0,,,,3,"003,182,198",,5328,5328
719446,421083,Charmander [Blazing Destruction | Steady Firebreathing],,,,,AMBIGUOUS,UNKNOWN,UNKNOWN,AMBIGUOUS,LOW,exact_name_and_attack_signature,name_signature=charmander; attack_signature=blazing destruction | steady firebreathing; no_direct_external_id_match,no unique numbered printing candidate; idMetacard retained as Cardmarket grouping evidence; never used as numbered identity,0.02,1.57,0.1,0.06,1.44,0.59,6.72,1.95,1.46,6.52,2,"004,168",,5328,5328
719447,421084,Charmeleon [Combustion | Fire Blast],,,,,AMBIGUOUS,UNKNOWN,UNKNOWN,AMBIGUOUS,LOW,exact_name_and_attack_signature,name_signature=charmeleon; attack_signature=combustion | fire blast; no_direct_external_id_match,no unique numbered printing candidate; idMetacard retained as Cardmarket grouping evidence; never used as numbered identity,0.02,0.39,0.23,0.16,0.4,0.05,1.38,1.45,1.26,2.8,2,"005,169",,5328,5328
719448,421085,Charizard ex [Brave Wing | Explosive Vortex],,,,,AMBIGUOUS,UNKNOWN,UNKNOWN,AMBIGUOUS,LOW,exact_name_and_attack_signature,name_signature=charizard ex; attack_signature=brave wing | explosive vortex; no_direct_external_id_match,no unique numbered printing candidate; idMetacard retained as Cardmarket grouping evidence; never used as numbered identity,0.5,1.84,1.59,1.35,2.03,,0,,,,3,"006,183,199",,5328,5328
719449,421086,Squirtle [Withdraw | Skull Bash],,,,,AMBIGUOUS,UNKNOWN,UNKNOWN,AMBIGUOUS,LOW,exact_name_and_attack_signature,name_signature=squirtle; attack_signature=withdraw | skull bash; no_direct_external_id_match,no unique numbered printing candidate; idMetacard retained as Cardmarket grouping evidence; never used as numbered identity,0.02,0.02,0.54,0.21,0.45,0.05,1.24,1.8,1.25,3.17,2,"007,170",,5328,5328
719450,421087,Wartortle [Free Diving | Spinning Attack],,,,,AMBIGUOUS,UNKNOWN,UNKNOWN,AMBIGUOUS,LOW,exact_name_and_attack_signature,name_signature=wartortle; attack_signature=free diving | spinning attack; no_direct_external_id_match,no unique numbered printing candidate; idMetacard retained as Cardmarket grouping evidence; never used as numbered identity,0.02,0.02,0.07,0.28,0.51,0.1,4.88,1.9,3.52,3.91,2,"008,171",,5328,5328
719451,421088,Blastoise ex [Solid Shell | Twin Cannons],,,,,AMBIGUOUS,UNKNOWN,UNKNOWN,AMBIGUOUS,LOW,exact_name_only,name_signature=blastoise ex; attack_signature=solid shell | twin cannons; no_direct_external_id_match,no unique numbered printing candidate; idMetacard retained as Cardmarket grouping evidence; never used as numbered identity,0.1,0.7,1.32,0.68,0.65,,0,,,,3,"009,184,200",,5328,5328
719452,421089,Caterpie [Leaf Munch],,,,,AMBIGUOUS,UNKNOWN,UNKNOWN,AMBIGUOUS,LOW,exact_name_and_attack_signature,name_signature=caterpie; attack_signature=leaf munch; no_direct_external_id_match,no unique numbered printing candidate; idMetacard retained as Cardmarket grouping evidence; never used as numbered identity,0.02,0.07,0.04,0.04,0.3,0.15,5.97,0.49,5.03,3.17,2,"010,172",,5328,5328
719453,421090,Metapod [Tackle | Defensive Posture],011,Metapod,Common,,PROBABLE,AMBIGUOUS,UNKNOWN,PROBABLE,MEDIUM,exact_name_and_attack_signature,name_signature=metapod; attack_signature=tackle | defensive posture; no_direct_external_id_match,TCGdex supports multiple finishes and local Product Catalogue does not expose finish; idMetacard retained as Cardmarket grouping evidence; never used as numbered identity,0.02,0.07,0.2,0.06,0.1,0.02,0.75,0.15,0.38,1.08,1,011,,5328,5328
